Company Name,Funded Date,Funded Amount,Fund Type,Company Linkedin Url,Website ,Industries,Founded Year
Threado AI,2022-07-27,3100000.0,Seed,https://www.linkedin.com/company/threadohq,www.threado.com,"Communities, Internet, Productivity Tools, SaaS",
Anthem,2021-12-20,500000.0,Non-equity Assistance,https://www.linkedin.com/company/getanthem,www.getanthem.co,"Credit, Education, SaaS,",
Box8,2019-12-12,120000000.0,Debt Financing,https://www.linkedin.com/company/poncho-hospitality-private-limited/,box8.in,"Food Delivery, Made to Order, Online Portals, SaaS",
IBSFINtech,2024-02-27,1500000.0,Seed,https://www.linkedin.com/company/ibsfintech-india,www.ibsfintech.com,"Financial Services, FinTech, Information Services, Information Technology",
Biva,2024-08-02,30000000.0,Seed,https://www.linkedin.com/company/biva-ai/,biva.ai,"Analytics, Artificial Intelligence (AI), Big Data, Business Intelligence",
WhistleDrive,,5000000.0,—,https://www.linkedin.com/company/whistledrive/,www.whistledrive.com,"SaaS, Software, Transportation,",
Supersourcing,2024-07-18,5000000.0,Non-equity Assistance,https://www.linkedin.com/company/supersrcing/,supersourcing.com/,"Enterprise Software, Freelance, Mobile Apps, SaaS",
Tydy,,5000000.0,—,https://www.linkedin.com/company/tydy,www.tydy.co,"Collaboration, Data Integration, Enterprise Software, Human Resources",
Supplynote,2023-07-12,2250000.0,Series A,https://www.linkedin.com/company/supplynote/mycompany/,www.supplynote.in,"Food and Beverage, Logistics, Restaurants, SaaS",
Manthan,2019-01-01,5000000.0,Venture - Series Unknown,http://www.linkedin.com/company/29460,www.manthan.com,"Analytics, Artificial Intelligence (AI), Big Data, Business Intelligence",
Workruit,2022-10-17,500000.0,Seed,https://www.linkedin.com/company/workruit,workruit.com,"Employment, Human Resources, Internet, Recruiting",
Knowlarity Communications,2016-11-23,20000000.0,Series C,http://www.linkedin.com/company/knowlarity-communications,knowlarity.com,"Cloud Computing, Emerging Markets, SaaS, Small and Medium Businesses",
Prolance,2022-08-18,160000000.0,Seed,https://www.linkedin.com/company/prolance-services-pvt-ltd,www.prolance.co.in,"B2B, Interior Design, Marketplace, SaaS",
Roadcast,,5000000.0,—,https://www.linkedin.com/company/6643003/,roadcast.in/,"Business Information Systems, E-Commerce, Fleet Management, Food Delivery",
NWORX,2022-12-20,77500000.0,Seed,https://www.linkedin.com/company/nworx-ai/about/,www.nworx.ai/,"Artificial Intelligence (AI), Generative AI, Human Resources, SaaS",
Lavelle Networks,2023-07-12,5000000.0,Corporate Round,https://www.linkedin.com/company/lavelle-networks,www.lavellenetworks.com,"Cloud Computing, Enterprise Software, Network Hardware, Network Security",
